GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Collection Preferences Backend,com.example.webapp.controller,AuthController,0,54,0,0,0,17,0,3,0,3
Collection Preferences Backend,com.example.webapp.controller,TeacherController,0,27,0,0,0,5,0,3,0,3
Collection Preferences Backend,com.example.webapp.controller,AdminController,0,29,0,0,0,9,0,3,0,3
Collection Preferences Backend,com.example.webapp.controller,AuthController.RegisterRequest,0,3,0,0,0,1,0,1,0,1
Collection Preferences Backend,com.example.webapp.controller,AuthController.LoginRequest,0,3,0,0,0,1,0,1,0,1
Collection Preferences Backend,com.example.webapp.service,AdminService,68,584,26,29,14,110,25,16,0,11
Collection Preferences Backend,com.example.webapp.service,AuthService.AuthResponse,0,18,0,0,0,7,0,1,0,1
Collection Preferences Backend,com.example.webapp.service,AuthService,5,123,0,2,0,26,1,4,1,3
Collection Preferences Backend,com.example.webapp.service,TeacherService,0,330,3,15,0,77,3,13,0,7
Collection Preferences Backend,com.example.webapp.config,DataInitializer,0,38,1,1,0,12,1,2,0,2
Collection Preferences Backend,com.example.webapp.config,SecurityConfig,0,154,0,0,0,35,0,9,0,9
Collection Preferences Backend,com.example.webapp.security,JwtAuthFilter,0,106,1,9,0,30,1,7,0,3
Collection Preferences Backend,com.example.webapp.model,Teacher,3,36,0,0,1,12,1,8,1,8
Collection Preferences Backend,com.example.webapp.model,User,0,72,0,0,0,23,0,18,0,18
Collection Preferences Backend,com.example.webapp.model,Role,0,15,0,0,0,3,0,1,0,1
Collection Preferences Backend,com.example.webapp.model,Preference,0,171,0,0,0,49,0,49,0,49
Collection Preferences Backend,com.example.webapp,PreferencesBackendApplication,5,3,0,0,2,1,1,1,1,1
Collection Preferences Backend,com.example.webapp.dto,PreferenceDto,78,3,0,0,27,1,1,1,1,1
